R	13
R	61
M	8
W	55
W	56
M	46
W	0
M	8
R	17
M	15
W	41
M	22
M	26
R	32
R	46
R	42
M	57
M	46
M	60
M	48
M	49
W	36
R	29
W	44
M	10
R	63
R	52
R	25
W	14
R	38
M	39
W	40
R	26
W	12
R	19
F
M	44
R	51
R	18
R	39
R	59
R	48
R	60
W	31
W	20
R	27
W	51
W	10
W	43
R	61
W	63
W	40
M	27
W	39
W	14
R	15
W	32
M	16
W	10
W	41
R	43
M	4
M	56
R	43
W	7
R	40
M	31
W	11
R	42
R	62
W	15
F
R	33
R	36
M	29
W	16
M	46
R	18
R	28
R	2
M	15
M	60
W	37
M	26
R	46
R	0
W	63
R	7
W	39
R	23
M	43
M	1
R	59
R	37
W	32
R	9
W	51
R	22
R	32
M	1
W	59
M	16
R	62
R	58
M	23
F
W	42
M	62
M	19
M	14
M	57
W	17
M	24
W	35
W	13
M	56
R	42
W	3
W	46
M	18
W	47
W	44
R	42
M	7
W	16
R	15
R	6
M	46
R	41
M	9
R	33
R	50
R	63
W	17
R	59
R	7
R	7
W	34
W	25
F
W	50
W	58
M	55
W	58
R	44
R	50
W	55
M	2
M	15
W	7
R	59
M	22
R	13
W	7
M	12
R	20
M	26
R	32
R	20
R	3
R	14
R	44
R	63
M	57
R	32
R	48
R	37
W	44
W	35
W	62
M	12
M	12
W	47
M	59
F
W	15
W	53
M	38
R	63
M	36
M	4
R	2
W	28
W	1
R	23
M	19
R	38
R	4
W	52
R	61
R	42
R	50
